row_id,facility_name,region,district,city,latitude,longitude,facility_type,operator_type,number_doctors,capacity,notes
1,Tamale Central Hospital,Northern,Tamale Metro,Tamale,9.4075,-0.8533,hospital,public,8,120,"Regional hospital with emergency ward, maternity unit, operating theatre, anesthesia support, blood bank, X-ray and ultrasound. Performs C-section deliveries and general surgical operations. Backup generator available."
2,Savelugu District Clinic,Northern,Savelugu,Savelugu,9.6247,-0.8253,clinic,public,1,18,"Primary care clinic providing maternity care and outpatient services. No operating theatre. Oxygen concentrator available intermittently. Refers C-section and trauma cases to Tamale."
3,Yendi Community Hospital,Northern,Yendi,Yendi,9.4427,-0.0099,hospital,faith-tradition,2,45,"Hospital claims emergency services and surgery. Notes mention X-ray machine and laboratory diagnostics, but no blood bank or anesthesia equipment listed. Ambulance currently non-functional."
4,Bolgatanga Regional Hospital,Upper East,Bolgatanga,Bolgatanga,10.7856,-0.8514,hospital,public,6,95,"Provides accident and emergency, maternity ward, ultrasound, X-ray, laboratory analyzer, oxygen supply and blood transfusion services. Has operating theatre but no ICU ventilator support documented."
5,Bawku Health Centre,Upper East,Bawku,Bawku,11.0606,-0.2417,clinic,public,1,12,"Outpatient clinic with child health, immunization, basic laboratory tests and maternity antenatal services. No emergency surgery, no blood bank, no operating theatre."
6,Ho Teaching Hospital,Volta,Ho Municipal,Ho,6.6008,0.4713,hospital,academic,10,180,"Academic hospital with ICU, patient monitors, oxygen plant, ventilators, CT scanner, operating theatre, general surgery, pediatrics and emergency medicine. Accepts clinical volunteers."
7,Keta Municipal Hospital,Volta,Keta,Keta,5.9179,0.9879,hospital,public,3,55,"Provides inpatient care, maternity care, X-ray imaging and ultrasound screening. Surgical theatre under renovation; anesthesia equipment not available."
8,Kumasi Children Clinic,Ashanti,Kumasi Metro,Kumasi,6.6885,-1.6244,clinic,private,2,20,"Pediatric outpatient and child health clinic. Provides basic laboratory diagnostics and ultrasound. No inpatient ward and no emergency department."
9,Sunyani Regional Hospital,Bono,Sunyani,Sunyani,7.3399,-2.3268,hospital,public,5,85,"Emergency department, operating theatre, anesthesia machine, blood bank, oxygen supply, X-ray machine, laboratory analyzer and maternity delivery ward. Performs minor and major surgery."
10,Wa Mission Hospital,Upper West,Wa,Wa,10.0607,-2.5019,hospital,faith-tradition,2,35,"Provides general medicine, maternity services, inpatient beds and basic lab tests. Claims surgical care but no theatre, blood bank or anesthesia evidence in submitted notes."
11,Cape Coast Eye Centre,Central,Cape Coast,Cape Coast,5.1053,-1.2466,clinic,private,1,8,"Ophthalmology and cataract screening centre. Performs vision screening and minor eye procedures. No emergency or inpatient capacity."
12,Accra Dialysis and Imaging Centre,Greater Accra,Accra Metro,Accra,5.6037,-0.1870,clinic,private,4,25,"Specialty centre with hemodialysis machines, CT scanner, ultrasound, laboratory analyzer, oxygen supply and backup generator. Provides dialysis three times weekly."
